TimeSinceStart,TrialNo,TrialID,ParticipantID,FurnitureCondition,AlignmentCondition,Info,CardSeen,CardAnswered,CardPosition.x,CardPosition.y,CardPosition.z
349.8,1,Training,6,NoFurniture,Regular,Prepare Phase,,,,,
436.32,1,Training,6,NoFurniture,Regular,Learning Phase,,,,,
440.38,1,Training,6,NoFurniture,Regular,Card,15,,-0.0002235174,-0.124091,3.312712
444.18,1,Training,6,NoFurniture,Regular,Card,25,,-0.7152812,0.1759089,1.902502
450.7,1,Training,6,NoFurniture,Regular,Card,10,,0.5479361,-0.4240911,0.1983068
451.6,1,Training,6,NoFurniture,Regular,Card,35,,1.537074,0.1759089,0.05131412
455.6,1,Training,6,NoFurniture,Regular,Card,6,,2.399124,-0.4240911,2.450662
457.44,1,Training,6,NoFurniture,Regular,Distractor,,,,,
457.44,1,Training,6,NoFurniture,Regular,Distractor Number: 3,,,,,
465.32,1,Training,6,NoFurniture,Regular,Distractor Number: 1,,,,,
469.46,1,Training,6,NoFurniture,Regular,Distractor Number: 7,,,,,
472.42,1,Training,6,NoFurniture,Regular,Distractor Number: 5,,,,,
475.54,1,Training,6,NoFurniture,Regular,Distractor Number: 4,,,,,
479.3,1,Training,6,NoFurniture,Regular,Recall Phase,,,,,
484.98,1,Training,6,NoFurniture,Regular,Card,,2,-0.5682886,-0.4240911,2.89164
488.3,1,Training,6,NoFurniture,Regular,Card,,6,2.399124,-0.4240911,2.450662
490.96,1,Training,6,NoFurniture,Regular,Card,,11,1.537074,-0.4240911,0.05131412
493.68,1,Training,6,NoFurniture,Regular,Card,,22,0.5479361,-0.124091,0.1983068
497.56,1,Training,6,NoFurniture,Regular,Card,,12,-0.8622739,-0.124091,0.9133645
513.4,1,Training,6,NoFurniture,Regular,Result,,,,,
519.52,2,1,6,NoFurniture,Regular,Prepare Phase,,,,,
565.16,2,1,6,NoFurniture,Regular,Learning Phase,,,,,
565.2,2,1,6,NoFurniture,Regular,Card,16,,0.9889141,-0.124091,3.16572
575.22,2,1,6,NoFurniture,Regular,Card,0,,-0.8622739,-0.4240911,0.9133645
576.98,2,1,6,NoFurniture,Regular,Card,6,,2.399124,-0.4240911,2.450662
583.22,2,1,6,NoFurniture,Regular,Card,34,,0.5479361,0.1759089,0.1983068
585.66,2,1,6,NoFurniture,Regular,Card,20,,2.105139,-0.124091,0.4723866
587.08,2,1,6,NoFurniture,Regular,Distractor,,,,,
587.08,2,1,6,NoFurniture,Regular,Distractor Number: 8,,,,,
593.36,2,1,6,NoFurniture,Regular,Distractor Number: 7,,,,,
597.58,2,1,6,NoFurniture,Regular,Distractor Number: 3,,,,,
601.4,2,1,6,NoFurniture,Regular,Distractor Number: 3,,,,,
604.92,2,1,6,NoFurniture,Regular,Distractor Number: 3,,,,,
605.48,2,1,6,NoFurniture,Regular,Recall Phase,,,,,
609.38,2,1,6,NoFurniture,Regular,Card,,16,0.9889141,-0.124091,3.16572
611.38,2,1,6,NoFurniture,Regular,Card,,6,2.399124,-0.4240911,2.450662
614.98,2,1,6,NoFurniture,Regular,Card,,23,1.537074,-0.124091,0.05131412
618.72,2,1,6,NoFurniture,Regular,Card,,0,-0.8622739,-0.4240911,0.9133645
621.32,2,1,6,NoFurniture,Regular,Card,,10,0.5479361,-0.4240911,0.1983068
632.24,2,1,6,NoFurniture,Regular,Result,,,,,
642.9,3,2,6,NoFurniture,Regular,Prepare Phase,,,,,
654.84,3,2,6,NoFurniture,Regular,Learning Phase,,,,,
656.4,3,2,6,NoFurniture,Regular,Card,16,,0.9889141,-0.124091,3.16572
661.16,3,2,6,NoFurniture,Regular,Card,26,,-0.5682886,0.1759089,2.89164
664.46,3,2,6,NoFurniture,Regular,Card,1,,-0.7152812,-0.4240911,1.902502
673,3,2,6,NoFurniture,Regular,Card,34,,0.5479361,0.1759089,0.1983068
674.5,3,2,6,NoFurniture,Regular,Card,11,,1.537074,-0.4240911,0.05131412
674.5,3,2,6,NoFurniture,Regular,Distractor,,,,,
674.5,3,2,6,NoFurniture,Regular,Distractor Number: 5,,,,,
680.3,3,2,6,NoFurniture,Regular,Distractor Number: 6,,,,,
684.52,3,2,6,NoFurniture,Regular,Distractor Number: 6,,,,,
687.54,3,2,6,NoFurniture,Regular,Distractor Number: 1,,,,,
690.8,3,2,6,NoFurniture,Regular,Distractor Number: 7,,,,,
691.4,3,2,6,NoFurniture,Regular,Recall Phase,,,,,
694.5,3,2,6,NoFurniture,Regular,Card,,16,0.9889141,-0.124091,3.16572
702.4,3,2,6,NoFurniture,Regular,Card,,34,0.5479361,0.1759089,0.1983068
704.46,3,2,6,NoFurniture,Regular,Card,,11,1.537074,-0.4240911,0.05131412
711.32,3,2,6,NoFurniture,Regular,Card,,6,2.399124,-0.4240911,2.450662
714.36,3,2,6,NoFurniture,Regular,Card,,26,-0.5682886,0.1759089,2.89164
717.62,3,2,6,NoFurniture,Regular,Result,,,,,
720.84,4,3,6,NoFurniture,Regular,Prepare Phase,,,,,
728.5,4,3,6,NoFurniture,Regular,Learning Phase,,,,,
730.1,4,3,6,NoFurniture,Regular,Card,28,,0.9889141,0.1759089,3.16572
733.6,4,3,6,NoFurniture,Regular,Card,26,,-0.5682886,0.1759089,2.89164
736.6,4,3,6,NoFurniture,Regular,Card,21,,-0.4412014,-0.124091,0.3452995
739.2,4,3,6,NoFurniture,Regular,Card,23,,1.537074,-0.124091,0.05131412
740.64,4,3,6,NoFurniture,Regular,Card,1,,-0.7152812,-0.4240911,1.902502
747.24,4,3,6,NoFurniture,Regular,Distractor,,,,,
747.24,4,3,6,NoFurniture,Regular,Distractor Number: 5,,,,,
752.7,4,3,6,NoFurniture,Regular,Distractor Number: 2,,,,,
755.3,4,3,6,NoFurniture,Regular,Distractor Number: 3,,,,,
757.28,4,3,6,NoFurniture,Regular,Distractor Number: 3,,,,,
760.2,4,3,6,NoFurniture,Regular,Distractor Number: 4,,,,,
763.56,4,3,6,NoFurniture,Regular,Recall Phase,,,,,
766.96,4,3,6,NoFurniture,Regular,Card,,28,0.9889141,0.1759089,3.16572
769.14,4,3,6,NoFurniture,Regular,Card,,26,-0.5682886,0.1759089,2.89164
772.02,4,3,6,NoFurniture,Regular,Card,,22,0.5479361,-0.124091,0.1983068
775.4,4,3,6,NoFurniture,Regular,Card,,11,1.537074,-0.4240911,0.05131412
778.44,4,3,6,NoFurniture,Regular,Card,,1,-0.7152812,-0.4240911,1.902502
781.44,4,3,6,NoFurniture,Regular,Result,,,,,
789.6,5,4,6,NoFurniture,Regular,Prepare Phase,,,,,
796.44,5,4,6,NoFurniture,Regular,Learning Phase,,,,,
