ParticipantID,TrialNo,TrialID,FurnitureCondition,AlignmentCondition,AnswerAccuracy
12,2,1,NoFurniture,Irregular,3
12,3,2,NoFurniture,Irregular,4
12,4,3,NoFurniture,Irregular,3
12,5,4,NoFurniture,Irregular,3
12,6,5,NoFurniture,Irregular,1
12,8,6,HasFurniture,Irregular,5
12,9,7,HasFurniture,Irregular,3
12,10,8,HasFurniture,Irregular,3
12,11,9,HasFurniture,Irregular,2
12,12,10,HasFurniture,Irregular,2
12,14,11,NoFurniture,Regular,3
12,15,12,NoFurniture,Regular,2
12,16,13,NoFurniture,Regular,3
12,17,14,NoFurniture,Regular,1
12,18,15,NoFurniture,Regular,4
12,20,16,HasFurniture,Regular,5
12,21,17,HasFurniture,Regular,2
12,22,18,HasFurniture,Regular,2
12,23,19,HasFurniture,Regular,3
12,24,20,HasFurniture,Regular,2
