TimeSinceStart,TrialNo,TrialID,ParticipantID,FurnitureCondition,AlignmentCondition,Info,CardSeen,CardAnswered,CardPosition.x,CardPosition.y,CardPosition.z
219.66,1,Training,4,NoFurniture,Irregular,Prepare Phase,,,,,
284.48,1,Training,4,NoFurniture,Irregular,Learning Phase,,,,,
290.76,1,Training,4,NoFurniture,Irregular,Card,4,,-2.037436,-0.620778,3.129829
296.2,1,Training,4,NoFurniture,Irregular,Card,6,,-1.011522,-0.620778,3.131312
300.16,1,Training,4,NoFurniture,Irregular,Card,21,,-0.02381742,-0.4207779,0.9054551
303.36,1,Training,4,NoFurniture,Irregular,Card,35,,-1.11892,0.179222,-0.1196057
309.06,1,Training,4,NoFurniture,Irregular,Card,13,,-2.484186,-0.4207779,0.3146183
309.46,1,Training,4,NoFurniture,Irregular,Distractor,,,,,
309.46,1,Training,4,NoFurniture,Irregular,Distractor Number: 2,,,,,
315.14,1,Training,4,NoFurniture,Irregular,Distractor Number: 8,,,,,
319.38,1,Training,4,NoFurniture,Irregular,Distractor Number: 2,,,,,
321.36,1,Training,4,NoFurniture,Irregular,Distractor Number: 8,,,,,
323.86,1,Training,4,NoFurniture,Irregular,Distractor Number: 3,,,,,
326.42,1,Training,4,NoFurniture,Irregular,Distractor Number: 8,,,,,
327.86,1,Training,4,NoFurniture,Irregular,Recall Phase,,,,,
335.8,1,Training,4,NoFurniture,Irregular,Card,,15,-3.242049,-0.320778,2.002263
343.18,1,Training,4,NoFurniture,Irregular,Card,,16,-2.037436,-0.320778,3.129829
350.46,1,Training,4,NoFurniture,Irregular,Card,,19,-0.3281485,-0.320778,2.401243
353.36,1,Training,4,NoFurniture,Irregular,Card,,21,-0.02381742,-0.4207779,0.9054551
356.16,1,Training,4,NoFurniture,Irregular,Card,,13,-2.484186,-0.4207779,0.3146183
368.48,1,Training,4,NoFurniture,Irregular,Result,,,,,
375.42,2,1,4,NoFurniture,Irregular,Prepare Phase,,,,,
428.78,2,1,4,NoFurniture,Irregular,Learning Phase,,,,,
431.68,2,1,4,NoFurniture,Irregular,Card,28,,-2.037436,-0.02077806,3.129829
433.9,2,1,4,NoFurniture,Irregular,Card,18,,-1.011522,-0.320778,3.131312
436,2,1,4,NoFurniture,Irregular,Card,8,,0.2185506,-0.370778,1.817189
438.88,2,1,4,NoFurniture,Irregular,Card,10,,-0.6808791,-0.420778,0.2904186
441.18,2,1,4,NoFurniture,Irregular,Card,24,,-1.971655,0.02922201,-0.232933
443.8,2,1,4,NoFurniture,Irregular,Distractor,,,,,
443.8,2,1,4,NoFurniture,Irregular,Distractor Number: 7,,,,,
446.94,2,1,4,NoFurniture,Irregular,Distractor Number: 1,,,,,
449.8,2,1,4,NoFurniture,Irregular,Distractor Number: 6,,,,,
451.76,2,1,4,NoFurniture,Irregular,Distractor Number: 1,,,,,
453.56,2,1,4,NoFurniture,Irregular,Distractor Number: 3,,,,,
