TimeSinceStart,TrialNo,TrialID,ParticipantID,FurnitureCondition,AlignmentCondition,Info,CardSeen,CardAnswered,CardPosition.x,CardPosition.y,CardPosition.z
183.76,1,Training,9,HasFurniture,Regular,Prepare Phase,,,,,
186.96,1,Training,9,HasFurniture,Regular,Learning Phase,,,,,
207.6,1,Training,9,HasFurniture,Regular,Card,2,,-0.1019437,-0.425355,2.374637
212.32,1,Training,9,HasFurniture,Regular,Card,25,,-0.5440607,0.1746451,1.477679
218.6,1,Training,9,HasFurniture,Regular,Card,11,,1.035157,-0.425355,-0.9730493
220.74,1,Training,9,HasFurniture,Regular,Card,20,,1.704695,-0.1253549,-0.7456291
224.52,1,Training,9,HasFurniture,Regular,Card,30,,2.588928,0.1746451,1.048286
226.16,1,Training,9,HasFurniture,Regular,Distractor,,,,,
226.16,1,Training,9,HasFurniture,Regular,Distractor Number: 7,,,,,
233.22,1,Training,9,HasFurniture,Regular,Distractor Number: 6,,,,,
236.88,1,Training,9,HasFurniture,Regular,Distractor Number: 5,,,,,
241.08,1,Training,9,HasFurniture,Regular,Distractor Number: 2,,,,,
245.1,1,Training,9,HasFurniture,Regular,Distractor Number: 4,,,,,
248.22,1,Training,9,HasFurniture,Regular,Recall Phase,,,,,
274,1,Training,9,HasFurniture,Regular,Card,,15,0.5675935,-0.1253549,2.602057
279.54,1,Training,9,HasFurniture,Regular,Card,,13,-0.5440607,-0.1253549,1.477679
283,1,Training,9,HasFurniture,Regular,Card,,24,-0.9861777,0.1746451,0.5807219
286.96,1,Training,9,HasFurniture,Regular,Card,,35,1.035157,0.1746451,-0.9730493
289.5,1,Training,9,HasFurniture,Regular,Card,,7,2.146811,-0.425355,0.1513283
295.28,1,Training,9,HasFurniture,Regular,Result,,,,,
297.66,2,1,9,HasFurniture,Regular,Prepare Phase,,,,,
318.02,2,1,9,HasFurniture,Regular,Learning Phase,,,,,
323.14,2,1,9,HasFurniture,Regular,Card,25,,-0.5440607,0.1746451,1.477679
324.94,2,1,9,HasFurniture,Regular,Card,27,,0.5675935,0.1746451,2.602057
334.9,2,1,9,HasFurniture,Regular,Card,11,,1.035157,-0.425355,-0.9730493
338.14,2,1,9,HasFurniture,Regular,Card,7,,2.146811,-0.425355,0.1513283
341.12,2,1,9,HasFurniture,Regular,Card,17,,2.361508,-0.1253549,1.717823
342.26,2,1,9,HasFurniture,Regular,Distractor,,,,,
342.26,2,1,9,HasFurniture,Regular,Distractor Number: 8,,,,,
348.62,2,1,9,HasFurniture,Regular,Distractor Number: 5,,,,,
353.2,2,1,9,HasFurniture,Regular,Distractor Number: 2,,,,,
356.96,2,1,9,HasFurniture,Regular,Distractor Number: 8,,,,,
360.18,2,1,9,HasFurniture,Regular,Distractor Number: 8,,,,,
363.02,2,1,9,HasFurniture,Regular,Distractor Number: 3,,,,,
363.64,2,1,9,HasFurniture,Regular,Recall Phase,,,,,
379.64,2,1,9,HasFurniture,Regular,Card,,27,0.5857276,0.1639721,2.618955
384,2,1,9,HasFurniture,Regular,Card,,25,-0.526275,0.1639721,1.494921
392.08,2,1,9,HasFurniture,Regular,Card,,9,-0.7414572,-0.4360279,-0.0715065
395.44,2,1,9,HasFurniture,Regular,Card,,11,1.052184,-0.4360279,-0.9562965
404.32,2,1,9,HasFurniture,Regular,Card,,17,2.379368,-0.1360278,1.734165
413.14,2,1,9,HasFurniture,Regular,Result,,,,,
423.34,3,2,9,HasFurniture,Regular,Prepare Phase,,,,,
430.88,3,2,9,HasFurniture,Regular,Learning Phase,,,,,
435.5,3,2,9,HasFurniture,Regular,Card,26,,-0.08388007,0.1639721,2.391742
437.48,3,2,9,HasFurniture,Regular,Card,1,,-0.526275,-0.4360279,1.494921
442.46,3,2,9,HasFurniture,Regular,Card,21,,-0.7414572,-0.1360278,-0.0715065
447.36,3,2,9,HasFurniture,Regular,Card,35,,1.052184,0.1639721,-0.9562965
451.94,3,2,9,HasFurniture,Regular,Card,6,,2.606581,-0.4360279,1.064557
454.02,3,2,9,HasFurniture,Regular,Distractor,,,,,
454.02,3,2,9,HasFurniture,Regular,Distractor Number: 3,,,,,
460.7,3,2,9,HasFurniture,Regular,Distractor Number: 8,,,,,
464.16,3,2,9,HasFurniture,Regular,Distractor Number: 8,,,,,
467.38,3,2,9,HasFurniture,Regular,Distractor Number: 4,,,,,
470.72,3,2,9,HasFurniture,Regular,Distractor Number: 6,,,,,
474.12,3,2,9,HasFurniture,Regular,Distractor Number: 1,,,,,
