TimeSinceStart,TrialNo,TrialID,ParticipantID,FurnitureCondition,AlignmentCondition,Info,CardSeen,CardAnswered,CardPosition.x,CardPosition.y,CardPosition.z
133.74,7,Training,9,NoFurniture,Regular,Prepare Phase,,,,,
137.32,7,Training,9,NoFurniture,Regular,Learning Phase,,,,,
140.22,7,Training,9,NoFurniture,Regular,Card,15,,-4.004713,0.4676052,4.825519
156.88,7,Training,9,NoFurniture,Regular,Card,25,,-4.579318,0.7676052,3.352485
166.88,7,Training,9,NoFurniture,Regular,Card,10,,-3.15644,0.1676052,1.779138
169.5,7,Training,9,NoFurniture,Regular,Card,35,,-2.157699,0.7676052,1.728982
176.48,7,Training,9,NoFurniture,Regular,Card,6,,-1.532937,0.1676052,4.200757
200.9,7,Training,9,NoFurniture,Regular,Distractor,,,,,
200.9,7,Training,9,NoFurniture,Regular,Distractor Number: 6,,,,,
207.3,7,Training,9,NoFurniture,Regular,Distractor Number: 5,,,,,
212.3,7,Training,9,NoFurniture,Regular,Distractor Number: 2,,,,,
215.86,7,Training,9,NoFurniture,Regular,Distractor Number: 1,,,,,
218.72,7,Training,9,NoFurniture,Regular,Distractor Number: 6,,,,,
222.1,7,Training,9,NoFurniture,Regular,Distractor Number: 3,,,,,
225.24,7,Training,9,NoFurniture,Regular,Distractor Number: 6,,,,,
227.3,7,Training,9,NoFurniture,Regular,Recall Phase,,,,,
232.68,7,Training,9,NoFurniture,Regular,Card,,16,-3.005971,0.4676052,4.775362
242.76,7,Training,9,NoFurniture,Regular,Card,,25,-4.579318,0.7676052,3.352485
245.8,7,Training,9,NoFurniture,Regular,Card,,0,-4.629474,0.1676052,2.353744
265.32,7,Training,9,NoFurniture,Regular,Card,,34,-3.15644,0.7676052,1.779138
285.88,7,Training,9,NoFurniture,Regular,Card,,20,-1.63325,0.4676052,2.203274
289.12,7,Training,9,NoFurniture,Regular,Result,,,,,
290.58,8,6,9,NoFurniture,Regular,Prepare Phase,,,,,
291.64,8,6,9,NoFurniture,Regular,Learning Phase,,,,,
291.82,8,6,9,NoFurniture,Regular,Card,16,,-3.005971,0.4676052,4.775362
302.42,8,6,9,NoFurniture,Regular,Card,0,,-4.629474,0.1676052,2.353744
305.74,8,6,9,NoFurniture,Regular,Card,34,,-3.15644,0.7676052,1.779138
311.28,8,6,9,NoFurniture,Regular,Card,20,,-1.63325,0.4676052,2.203274
316.38,8,6,9,NoFurniture,Regular,Card,6,,-1.532937,0.1676052,4.200757
327.84,8,6,9,NoFurniture,Regular,Distractor,,,,,
327.84,8,6,9,NoFurniture,Regular,Distractor Number: 1,,,,,
332.9,8,6,9,NoFurniture,Regular,Distractor Number: 8,,,,,
335.82,8,6,9,NoFurniture,Regular,Distractor Number: 7,,,,,
339.8,8,6,9,NoFurniture,Regular,Distractor Number: 3,,,,,
342.24,8,6,9,NoFurniture,Regular,Distractor Number: 4,,,,,
344.62,8,6,9,NoFurniture,Regular,Recall Phase,,,,,
349.06,8,6,9,NoFurniture,Regular,Card,,16,-3.005971,0.4676052,4.775362
355.6,8,6,9,NoFurniture,Regular,Card,,24,-4.629474,0.7676052,2.353744
366,8,6,9,NoFurniture,Regular,Card,,20,-1.63325,0.4676052,2.203274
367.82,8,6,9,NoFurniture,Regular,Card,,6,-1.532937,0.1676052,4.200757
375.24,8,6,9,NoFurniture,Regular,Card,,34,-3.15644,0.7676052,1.779138
378.62,8,6,9,NoFurniture,Regular,Result,,,,,
380.02,9,7,9,NoFurniture,Regular,Prepare Phase,,,,,
381.36,9,7,9,NoFurniture,Regular,Learning Phase,,,,,
381.42,9,7,9,NoFurniture,Regular,Card,16,,-3.005971,0.4676052,4.775362
388.72,9,7,9,NoFurniture,Regular,Card,26,,-4.529161,0.7676052,4.351226
393.28,9,7,9,NoFurniture,Regular,Card,1,,-4.579318,0.1676052,3.352485
395.26,9,7,9,NoFurniture,Regular,Card,11,,-2.157699,0.1676052,1.728982
396.24,9,7,9,NoFurniture,Regular,Card,34,,-3.15644,0.7676052,1.779138
400.36,9,7,9,NoFurniture,Regular,Distractor,,,,,
400.36,9,7,9,NoFurniture,Regular,Distractor Number: 2,,,,,
407.52,9,7,9,NoFurniture,Regular,Distractor Number: 5,,,,,
412.56,9,7,9,NoFurniture,Regular,Distractor Number: 5,,,,,
415.18,9,7,9,NoFurniture,Regular,Distractor Number: 2,,,,,
418.5,9,7,9,NoFurniture,Regular,Distractor Number: 2,,,,,
423.1,9,7,9,NoFurniture,Regular,Recall Phase,,,,,
426.82,9,7,9,NoFurniture,Regular,Card,,16,-3.005971,0.4676052,4.775362
436.16,9,7,9,NoFurniture,Regular,Card,,26,-4.529161,0.7676052,4.351226
437.44,9,7,9,NoFurniture,Regular,Card,,1,-4.579318,0.1676052,3.352485
440.02,9,7,9,NoFurniture,Regular,Card,,34,-3.15644,0.7676052,1.779138
441.42,9,7,9,NoFurniture,Regular,Card,,11,-2.157699,0.1676052,1.728982
444.92,9,7,9,NoFurniture,Regular,Result,,,,,
447.72,10,8,9,NoFurniture,Regular,Prepare Phase,,,,,
450.58,10,8,9,NoFurniture,Regular,Learning Phase,,,,,
451.06,10,8,9,NoFurniture,Regular,Card,28,,-3.005971,0.7676052,4.775362
456.34,10,8,9,NoFurniture,Regular,Card,26,,-4.529161,0.7676052,4.351226
460.26,10,8,9,NoFurniture,Regular,Card,1,,-4.579318,0.1676052,3.352485
461.82,10,8,9,NoFurniture,Regular,Card,21,,-4.155182,0.4676052,1.829295
462.32,10,8,9,NoFurniture,Regular,Card,23,,-2.157699,0.4676052,1.728982
466.76,10,8,9,NoFurniture,Regular,Distractor,,,,,
466.76,10,8,9,NoFurniture,Regular,Distractor Number: 5,,,,,
471.76,10,8,9,NoFurniture,Regular,Distractor Number: 1,,,,,
474.16,10,8,9,NoFurniture,Regular,Distractor Number: 5,,,,,
476.66,10,8,9,NoFurniture,Regular,Distractor Number: 6,,,,,
480.28,10,8,9,NoFurniture,Regular,Distractor Number: 1,,,,,
483.4,10,8,9,NoFurniture,Regular,Distractor Number: 4,,,,,
483.8,10,8,9,NoFurniture,Regular,Recall Phase,,,,,
487.58,10,8,9,NoFurniture,Regular,Card,,16,-3.005971,0.4676052,4.775362
489.54,10,8,9,NoFurniture,Regular,Card,,26,-4.529161,0.7676052,4.351226
490.88,10,8,9,NoFurniture,Regular,Card,,1,-4.579318,0.1676052,3.352485
492.58,10,8,9,NoFurniture,Regular,Card,,21,-4.155182,0.4676052,1.829295
494.62,10,8,9,NoFurniture,Regular,Card,,23,-2.157699,0.4676052,1.728982
497.38,10,8,9,NoFurniture,Regular,Result,,,,,
498.94,11,9,9,NoFurniture,Regular,Prepare Phase,,,,,
501.46,11,9,9,NoFurniture,Regular,Learning Phase,,,,,
506.86,11,9,9,NoFurniture,Regular,Card,29,,-2.00723,0.7676052,4.725206
512.7,11,9,9,NoFurniture,Regular,Card,14,,-4.529161,0.4676052,4.351226
513.62,11,9,9,NoFurniture,Regular,Card,0,,-4.629474,0.1676052,2.353744
526.6,11,9,9,NoFurniture,Regular,Card,34,,-3.15644,0.7676052,1.779138
