"Timestamp","Participant ID","1. How mentally demanding was the task?","2. How physically demanding was the task?","3. How hurried or rushed was the pace of the task?","4. How successful were you in accomplishing the task?  (CAREFUL: 7 is Failure and 1 is Perfect)","5. How hard did you have to work to accomplish your level of performance?","6. How insecure, discouraged, irritated, stressed, and annoyed were you?","",""
"2023/06/28 7:04:33 pm GMT+10","102","6","5","5","4","5","2","","My strategies were not too well developed yet. The highest score I got was 3 out of 5. Sometimes I got 0. In future rounds I need to further develop the strategy to better answer this question. What I did was I tried to remember the high/middle/low position, but the column that the tiles that are in is hard to memorise, thus far. "
"2023/07/03 3:46:25 pm GMT+10","9","3","5","4","2","4","3","",""
"2023/07/04 10:58:49 am GMT+10","10","6","5","7","6","6","5","",""
"2023/07/04 2:35:22 pm GMT+10","11","5","3","6","4","5","5","",""
"2023/07/04 4:10:01 pm GMT+10","13","6","6","5","5","5","1","",""
"2023/07/05 10:48:46 am GMT+10","1","6","5","6","5","6","5","",""
"2023/07/06 3:47:03 pm GMT+10","3","1","1","3","3","3","1","",""
"2023/07/07 5:15:08 pm GMT+10","2","2","2","2","2","2","1","",""
"2023/07/10 5:18:51 pm GMT+10","4","5","7","7","5","6","6","",""
"2023/07/11 12:58:53 pm GMT+10","5","4","6","5","4","5","4","",""
"2023/07/11 4:13:23 pm GMT+10","6","2","3","2","2","1","1","",""
"2023/07/13 4:04:13 pm GMT+10","8","6","2","6","5","5","2","",""
"2023/07/14 3:48:07 pm GMT+10","12","4","3","5","3","4","2","",""
"2023/07/17 3:32:02 pm GMT+10","14","3","3","4","4","3","4","",""
"2023/07/17 4:47:55 pm GMT+10","16","3","5","3","7","3","5","",""
"2023/07/18 6:19:07 pm GMT+10","7","6","3","7","5","6","2","",""
"2023/07/18 7:19:42 pm GMT+10","15","6","6","7","7","7","6","",""
