"Timestamp","Participant ID","1. How mentally demanding was the task?","2. How physically demanding was the task?","3. How hurried or rushed was the pace of the task?","4. How successful were you in accomplishing the task?  (CAREFUL: 7 is Failure and 1 is Perfect)","5. How hard did you have to work to accomplish your level of performance?","6. How insecure, discouraged, irritated, stressed, and annoyed were you?","",""
"2023/06/28 7:18:30 pm GMT+10","102","5","5","5","6","4","2","","Quite successful compared to the last 5 rounds. I developed strategies by first observing and not touching the cards in a rush. I would split the room into four section (4 * 3* 3 ) cards, then memorise 5 numbers that I allocate to the cards. "
"2023/07/03 3:22:07 pm GMT+10","9","6","4","6","5","4","5","",""
"2023/07/04 10:47:28 am GMT+10","10","3","5","6","2","5","4","",""
"2023/07/04 2:47:24 pm GMT+10","11","4","5","6","3","4","5","",""
"2023/07/04 3:47:45 pm GMT+10","13","6","5","6","5","7","1","",""
"2023/07/05 10:31:02 am GMT+10","1","4","6","6","4","5","2","",""
"2023/07/06 3:55:03 pm GMT+10","3","1","1","3","2","3","2","",""
"2023/07/07 5:01:41 pm GMT+10","2","2","2","2","2","2","2","",""
"2023/07/10 5:39:38 pm GMT+10","4","4","6","7","5","5","4","",""
"2023/07/11 12:38:42 pm GMT+10","5","4","3","5","4","5","3","",""
"2023/07/11 4:25:00 pm GMT+10","6","3","5","3","2","1","2","",""
"2023/07/13 4:29:07 pm GMT+10","8","6","2","5","5","5","2","",""
"2023/07/14 4:26:03 pm GMT+10","12","4","3","5","3","6","3","",""
"2023/07/17 3:18:59 pm GMT+10","14","3","3","3","4","2","2","",""
"2023/07/17 5:04:45 pm GMT+10","16","1","2","2","7","3","3","",""
"2023/07/18 6:30:36 pm GMT+10","7","6","3","7","5","4","4","",""
"2023/07/18 7:32:06 pm GMT+10","15","7","6","7","7","7","5","",""
