"Timestamp","Participant ID","1. How mentally demanding was the task?","2. How physically demanding was the task?","3. How hurried or rushed was the pace of the task?","4. How successful were you in accomplishing the task?  (CAREFUL: 7 is Failure and 1 is Perfect)","5. How hard did you have to work to accomplish your level of performance?","6. How insecure, discouraged, irritated, stressed, and annoyed were you?","",""
"2023/06/28 7:30:26 pm GMT+10","102","4","3","4","1","4","2","","The irregularity made it harder. However, I was still able to score 5 out of 5 on all. Strategies used were similar to before- observing and memorising allocated number before I touch them."
"2023/07/03 3:57:07 pm GMT+10","9","7","5","5","5","6","6","",""
"2023/07/04 10:37:44 am GMT+10","10","7","6","7","7","7","6","",""
"2023/07/04 2:58:42 pm GMT+10","11","3","5","6","5","5","6","",""
"2023/07/04 4:23:08 pm GMT+10","13","6","6","6","5","6","1","",""
"2023/07/05 11:01:55 am GMT+10","1","7","5","6","6","7","5","",""
"2023/07/06 4:05:10 pm GMT+10","3","1","1","1","2","2","1","",""
"2023/07/07 4:50:31 pm GMT+10","2","5","4","4","3","5","3","",""
"2023/07/10 5:08:05 pm GMT+10","4","6","7","7","6","7","6","",""
"2023/07/11 1:09:02 pm GMT+10","5","4","5","4","4","5","4","",""
"2023/07/11 3:45:42 pm GMT+10","6","5","6","5","4","1","4","",""
"2023/07/13 3:48:27 pm GMT+10","8","7","2","6","5","7","3","",""
"2023/07/14 3:37:02 pm GMT+10","12","6","4","6","5","5","2","",""
"2023/07/17 3:06:09 pm GMT+10","14","5","5","5","7","4","3","",""
"2023/07/17 4:38:34 pm GMT+10","16","3","6","7","6","5","2","",""
"2023/07/18 6:40:03 pm GMT+10","7","5","5","5","5","5","5","",""
"2023/07/18 7:43:17 pm GMT+10","15","7","6","7","7","7","7","",""
